yardstick,A standard for judging or measuring something (критерий • мера)
flowing,Moving smoothly and continuously (текущий • плавный)
genes,Units of heredity passed from parents to offspring (гены)
convictions,Strong beliefs or opinions (убеждения • уверенность)
comprehensible,Understandable; able to be grasped mentally (понятный • доступный)
daring,Brave and willing to take risks (смелый • отважный)
dispel,To drive away or eliminate (развеять • устранить)
swatting,Hitting something usually an insect with a quick motion (шлёпать • прихлопывать)
devoting,Giving time or effort to something (посвящение • отдача)
evidence,Information indicating whether something is true (доказательство • свидетельство)
eking out,Managing to make something last with difficulty (с трудом добывать • перебиваться)
charmed,Under a magical spell or feeling very lucky (очарованный • загипнотизированный)
hone,To sharpen or improve something (оттачивать • совершенствовать)
neat,Tidy and organized (аккуратный • опрятный)
cruel,Mean or causing pain (жестокий • безжалостный)
endeavors,Attempts or efforts to do something (усилия • начинания)
pillaged,Robbed using violence especially in war (разграбленный • опустошённый)
wise,Having or showing good judgment (мудрый • благоразумный)
oftentimes,Frequently or regularly (часто • зачастую)
tattered,Torn and in poor condition (оборванный • потрёпанный)
adversity,Difficult or unpleasant situations (невзгоды • трудности)
resisted,Fought against or opposed something (сопротивлялся • противостоял)
indeed,Truly or really (действительно • в самом деле)
possess,To own or have something (обладать • иметь)
formidable,Inspiring fear or respect through being powerful (грозный • внушительный)
evaporated,Changed from liquid to vapor (испарился • улетучился)
predicament,A difficult or unpleasant situation (затруднительное положение • неприятность)
cure,A treatment that makes someone healthy again (лечение • исцеление)
obsolete,No longer used or useful (устаревший • вышедший из употребления)
resists,Opposes or fights against (сопротивляется • противостоит)
reside,To live in a place (проживать • находиться)
venture,A risky or daring journey or activity (рискованное предприятие • авантюра)
remarks,Comments or statements (замечания • высказывания)
wiser,Having more wisdom or good judgment (более мудрый • разумнее)
distant clatter,A far-off noise of things hitting or falling (отдалённый грохот • далёкий стук)
witnessed,Saw something happen (стал свидетелем • наблюдал)
uttered,Spoken or said (произнесённый • сказанный)
despair,A complete loss of hope (отчаяние • безнадёжность)
odds,Chances or likelihood (шансы • вероятность)
appeal,A request for help or support (призыв • обращение)
inevitable,Certain to happen (неизбежный • неминуемый)
dwells,Lives or stays somewhere (проживает • обитает)
prosperity,Success or wealth (процветание • благополучие)
blacksmiths,People who make things from metal (кузнецы)
cobblers,People who repair shoes (сапожники)
weavers,People who make cloth by weaving (ткачи)
forfeited,Lost as a penalty (утраченный • конфискованный)
despair,A complete loss of hope (отчаяние • безысходность)
exceed,To go beyond a limit (превышать • превосходить)
augment,To increase or make larger (увеличивать • наращивать)
alter,To change or modify (изменять • переделывать)
cargo vessel,A ship that carries goods (грузовое судно • транспортное судно)
reportedly,According to reports or rumors (по сообщениям • якобы)
tackle,To deal with or handle something (решать • справляться)
blood vessel,A tube that carries blood through the body (кровеносный сосуд)
inhibit,To prevent or hold back (подавлять • препятствовать)
skin graft,A piece of skin used for transplantation (кожный трансплантат)
screen,To check or examine something (проверять • обследовать)
tissue,A group of cells in the body (ткань)
transcend,To go beyond limits (превосходить • выходить за пределы)
utilise,To make use of (использовать • применять)
clinical trial,A medical test of a new treatment (клиническое испытание)
mimic,To imitate or copy (имитировать • подражать)
subsequently,Afterward or later (впоследствии • затем)
fraction,A small part or portion (доля • часть)
enhance,To improve or increase (улучшать • усиливать)
trail,A path or track (тропа • след)
tackle,To deal with or attempt something (решать • браться за)
devise,To invent or create (разрабатывать • придумывать)
transcendence,The state of going beyond limits (трансцендентность • превосходство)
debris,Scattered pieces of waste or remains (обломки • мусор)
relay,To pass something along (передавать • транслировать)
stuntman,A person who performs dangerous actions for films (каскадёр)
infatuation,An intense but short-lived passion (влюблённость • увлечение)
